ID,HUMAN_ID,HUMAN_READABLE_NAME,NAME,ALT_NAMES (/ separated),PARENT_ID,PARENT,DATE_FROM,DATE_TO,CANON,LEGENDS,IN_MOVIES,TYPE,TYPE_CLASSES,IS_CAPITAL,X_GRID,Y_GRID,X_COORD,Y_COORD,Z_COORD,ORBITAL_RANK,DESC,CONJECTURAL_NAME,CONJECTURAl_TYPE,PLACEMENT_CERT.,PLACEMENT_LOGIC,NATIVE_SPECIES,KNOWN_ENVIRONMENTS,NOTES,INTERESTING,URLS (sources),ZOOM_LEVEL,tooltip_permanent,tooltip_direction,className,index_geo,last_updated,data_certified,WikiDataID,GEOM,PONCTUAL
dc96a2e7-9900-43ce-b821-30e4fd9eb920,15,Mid Rim,Mid Rim,Mid Rim Territories/Middle Rim/Mid-Rim/Mid-systems,ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,The Galaxy,,,YES,YES,,Region,,,,,,,,,,,,,,,,,,"https://starwars.fandom.com/wiki/Mid_Rim_Territories,https://starwars.fandom.com/wiki/Mid_Rim/Legends",,,,,,,,,,NO
d1613111-4b32-4e5c-8c99-f03c75bca78d,16,Outer Rim Territories,Outer Rim Territories,Outer Rim/Outer Systems/Outer Rim Worlds/Outer Rim Systems,ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,The Galaxy,,,YES,YES,,Region,,,,,,,,,,,,,,,,,,"https://starwars.fandom.com/wiki/Outer_Rim_Territories,https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends",,,,,,,,,,NO
0cea1d8e-1101-40d0-88cc-8a5f0e307942,17,Wild Space,Wild Space,,ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,The Galaxy,,,YES,YES,,Region,,,,,,,,,,,,,,,,,,"https://starwars.fandom.com/wiki/Wild_Space,https://starwars.fandom.com/wiki/Wild_Space/Legends",,,,,,,,,,NO
57c2e57c-50e7-4a25-a48f-d03f7e5a871b,18,Unknown Regions,Unknown Regions,Unknown Space/Unknown Territories/Unknowns/Outer Reaches/Great Unknown/Unknown Sector/Unknown Reaches/Unexplored Regions,ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,The Galaxy,,,YES,YES,,Region,,,,,,,,,,,,,,,,,,"https://starwars.fandom.com/wiki/Unknown_Regions,https://starwars.fandom.com/wiki/Unknown_Regions/Legends",,,,,,,,,,NO
5c7827b0-797d-4d5d-a666-147f5a2a0832,19,Aostai region,Aostai region,,ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,The Galaxy,,,,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Aostai_region,,,,,,,,,,NO
d3f28025-6630-4269-809a-cc68ae6b3346,20,Ashcan Reach,Ashcan Reach,,ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,The Galaxy,,,YES,,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Ashcan_Reach,,,,,,,,,,NO
e8c512a8-aa6d-4046-98b7-365f17c20e3a,23,Ringali Shell,Ringali Shell,,ac37bbbf-401b-4252-a8c4-fe5d79fdbf4a,Core Worlds,,,,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Ringali_Shell,,,,,,,,,,NO
96850220-98f4-4798-9cc2-7643398a776c,28,The Divide,The Divide,,,Mid Rim,-24000,-23900,,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/The_Divide,,,,,,,,,,NO
c4a3abf3-d758-4fb1-8456-a186e477e68a,30,Greater Tion,Greater Tion,,,Outer Rim Territories,-25000,-23900,YES,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Greater_Tion,,,,,,,,,,NO
c953514a-0623-4e4c-981f-b8ef8c2d42a2,31,Greater Javin,Greater Javin,,,Outer Rim Territories,-500,,YES,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Greater_Javin/Legends,,,,,,,,,,NO
b44af259-a355-4454-8e8c-b6657b995d34,32,Metharian Nebula Territories,Metharian Nebula Territories,,,Metharian Nebula,,,,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Metharian_Nebula_Territories,,,,,,,,,,NO
476b1d36-8f36-4375-869b-b29d45c5eacc,35,Hutt Space,Hutt Space,,,The Galaxy,,,YES,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Hutt_Space/Legends,,,,,,,,,,NO
f12db03b-4083-490a-adec-9928b2652b50,36,Bootana Hutta,Bootana Hutta,Garden of the Hutts,,Hutt Space,,,,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Bootana_Hutta,,,,,,,,,,NO
c821ad09-4e49-47db-84ef-cd2ec25ad5b7,37,Parfadi,Parfadi,,,Colonies,,,,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Parfadi,,,,,,,,,,NO
7290979d-af83-458b-a51c-ae35dfd29122,38,Kharmort's Miasma (region),Kharmort's Miasma (region),,,Unknown Regions,,,,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Kharmort%27s_Miasma,,,,,,,,,,NO
bcd252b3-5c5d-4452-bed9-f4a66d057f95,39,Jahilid Drift,Jahilid Drift,,,Wild Space,,,,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Jahilid_Drift,,,,,,,,,,NO
d7f45d6e-3617-4c65-8132-d174c61db201,40,Void of Aogros,Void of Aogros,,,Wild Space,,,,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Void_of_Aogros,,,,,,,,,,NO
b145109f-9462-4ed8-ab3d-552947e36dac,41,Shiritoku Spur,Shiritoku Spur,,,Wild Space,,,,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Shiritoku_Spur,,,,,,,,,,NO
ad4ef8c4-bcd8-4d7e-920d-f3caaccbd606,42,Chiloon Rift (region),Chiloon Rift (region),,,Wild Space,,,,YES,,Region,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Chiloon_Rift,,,,,,,,,,NO
44d9e6cf-5f10-4e88-9a3a-e25944cc2926,43,Koros sector,Koros sector,,,Deep Core,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Koros_sector/Legends,,,,,,,,,,NO
4663fdcb-f477-492a-a79c-7800dba57416,44,Cosian Space,Cosian Space,,,Deep Core,,,YES,,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Cosian_Space,,,,,,,,,,NO
db94ad16-733c-47d2-a86b-b69c1acabbeb,45,Alderaan sector,Alderaan sector,,,Core Worlds,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Alderaan_sector,,,,,,,,,,NO
6d7e6eff-f7b4-4dc2-bde5-1b256d59e5db,46,Alsaka sector,Alsaka sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Alsaka_sector,,,,,,,,,,NO
7d87513a-7f68-4c8c-84b7-ecc4584e3db7,47,Azure sector,Azure sector,,,Core Worlds,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Azure_sector,,,,,,,,,,NO
d9806273-7062-428f-b52c-16eb80216460,48,Bormea sector,Bormea sector,,,Ringali Shell,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Bormea_sector/Legends,,,,,,,,,,NO
1f04247e-8cc4-4cc7-bbf9-0d4ad65b2705,49,Botor Enclave,Botor Enclave,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Botor_Enclave,,,,,,,,,,NO
327fd443-0b81-46f0-8e53-35c23a53a91a,50,Core sector,Core sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Core_sector,,,,,,,,,,NO
ea6e699c-e06a-4580-9e5c-1438599d05ec,51,Corellian sector,Corellian sector,,,Core Worlds,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Corellian_sector/Legends,,,,,,,,,,NO
2a12d69d-5221-4788-81e1-530a60c2d78a,52,Corridan sector,Corridan sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Corridan_sector,,,,,,,,,,NO
2890b02d-4faa-46fe-8357-4b6c9c80fb02,53,Corusca sector,Corusca sector,,,Core Worlds,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Corusca_sector/Legends,,,,,,,,,,NO
632e9ecb-095c-4fee-a723-50e83b90fc6b,54,Coruscant sector,Coruscant sector,,,Corusca sector,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Coruscant_sector,,,,,,,,,,NO
badcf970-0701-4234-aa45-a46e69251e18,55,Coruscant subsector,Coruscant subsector,,,Corusca sector,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Coruscant_sector,,,,,,,,,,NO
10e1f0e8-9036-42c3-bfa5-292c2d75c60a,56,Darpa sector,Darpa sector,,,Ringali Shell,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Darpa_sector,,,,,,,,,,NO
8ea72b70-8f5c-4278-8d0c-5299050b0fdf,57,Daupherm Planet States,Daupherm Planet States,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Daupherm_Planet_States,,,,,,,,,,NO
30bdb6b8-b8fb-44bc-8588-7d9a1ae2f7c6,58,Demophon sector,Demophon sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Demophon_sector,,,,,,,,,,NO
24f728ac-7f13-4a26-93b8-f7753ba09635,59,Dolomar sector,Dolomar sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Dolomar_sector,,,,,,,,,,NO
7d563cb5-cec5-4661-886c-de416f1a5aa1,60,Duro sector,Duro sector,,,Core Worlds,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Duro_sector,,,,,,,,,,NO
1010636a-275c-479f-b58f-f488a14acf3b,61,Emmo sector,Emmo sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Emmo_sector,,,,,,,,,,NO
3a81286f-f328-4b85-8379-0dd4a66cd777,62,Farlax sector,Farlax sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Farlax_sector,,,,,,,,,,NO
8a024aee-fdaa-478b-85f3-404122bef3aa,63,Farrfin sector,Farrfin sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Farrfin_sector,,,,,,,,,,NO
3a80157f-8fef-488b-adfc-b3f8a7748e7a,64,Hatawa sector,Hatawa sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Hatawa_sector,,,,,,,,,,NO
50e080d4-fc45-4869-abb7-d2afc2121f30,65,Humbarine sector,Humbarine sector,,,Core Worlds,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Humbarine_sector/Legends,,,,,,,,,,NO
c44aa4ac-1a6e-49b0-a705-04147fa72088,66,Illodia sector,Illodia sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Illodia_sector,,,,,,,,,,NO
8c293279-3061-4a1f-8e67-8e4fe8671ddf,67,Ixtlar sector,Ixtlar sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Ixtlar_sector,,,,,,,,,,NO
8a5e7b8e-d85f-41df-a6f0-6f302924d0b9,68,Kanchen sector,Kanchen sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Kanchen_sector,,,,,,,,,,NO
f67b657f-931e-43ba-8694-d67021393cb0,69,Kokash sector,Kokash sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Kokash_sector,,,,,,,,,,NO
dc00f206-7478-408f-90c7-d4ddda27ce89,70,Krenher sector,Krenher sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Krenher_sector,,,,,,,,,,NO
80c9d84f-0179-4835-8e34-bec3778960be,71,Kuat sector,Kuat sector,,,Core Worlds,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Kuat_sector/Legends,,,,,,,,,,NO
e3ab0a69-e90e-454d-9674-153be2b4aae4,72,Lytton sector,Lytton sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Lytton_sector,,,,,,,,,,NO
1c0fcb6d-5ce6-4c66-9428-af1765312fec,73,Outlier systems,Outlier systems,,,Corellian sector,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Outlier_systems,,,,,,,,,,NO
4081d9e6-5fc8-4752-b785-2046c27990f7,74,Parmorak sector,Parmorak sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Parmorak_sector,,,,,,,,,,NO
ccea77e0-ff48-4231-bc4c-e0b320973025,75,Praxlis sector,Praxlis sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Praxlis_sector,,,,,,,,,,NO
a38ee0cb-ffa1-43cf-bbf4-cfecd7d48bdd,76,Quanta sector,Quanta sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Quanta_sector,,,,,,,,,,NO
dd2f1de4-0f44-4f5d-9976-710096be7f69,77,Questal sector,Questal sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Questal_sector,,,,,,,,,,NO
6f2bde38-01cf-4dfc-a0d5-a84900cbef32,78,Tangenine sector,Tangenine sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Tangenine_sector,,,,,,,,,,NO
1eca4c18-00da-4433-a9a2-1ebf374d3a81,79,Testarr sector,Testarr sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Testarr_sector,,,,,,,,,,NO
0c1e639b-14cd-49b3-a4f2-2bd9dc8ac592,80,Torranix sector,Torranix sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Torranix_sector,,,,,,,,,,NO
19d23139-00b3-42ab-9b45-d588181ebfdf,81,Uoti sector,Uoti sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Uoti_sector,,,,,,,,,,NO
05b09833-d038-416f-9f3e-c5d3a568e9a0,82,Vannell sector,Vannell sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Vannell_sector,,,,,,,,,,NO
effe696e-f6eb-4a90-9e1a-3166caf90e7a,83,Weemell sector,Weemell sector,,,Core Worlds,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Weemell_sector,,,,,,,,,,NO
cdc1633b-5d11-4b23-9e4d-d4b0d3e6a980,84,Barma sector,Barma sector,,,Colonies,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Barma_sector/Legends,,,,,,,,,,NO
f545f2a2-edcd-4da2-87d7-3c750937a562,85,Baronos sector,Baronos sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Baronos_sector,,,,,,,,,,NO
b83c8344-1e3f-4143-bf6b-246e4145aa3c,86,Belnar sector,Belnar sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Belnar_sector,,,,,,,,,,NO
feaa7c80-0a09-4bb1-a2aa-277e186eed19,87,Binarran Cloud,Binarran Cloud,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Binarran_Cloud,,,,,,,,,,NO
4021b3e9-fae8-4d22-9a81-39b4ad38e40d,88,Dartibek sector,Dartibek sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Dartibek_sector,,,,,,,,,,NO
a3a3767b-5674-46ad-9ffb-96a2d989a708,89,Duluur sector,Duluur sector,,,Colonies,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Duluur_sector,,,,,,,,,,NO
8cd78c5c-dfc7-47e4-bb80-848c8c5e2c18,90,Fakir sector,Fakir sector,,,Colonies,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Fakir_sector/Legends,,,,,,,,,,NO
916cacce-7552-47d2-a86f-f2e6bd600083,91,Freeworlds Territory,Freeworlds Territory,Freeworlds/Shapani subsector,,Tapani sector,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Freeworlds_Territory,,,,,,,,,,NO
b6c75b78-bc5a-4c9f-9dfd-80e744442770,92,Haldeen sector,Haldeen sector,,,Colonies,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Haldeen_sector,,,,,,,,,,NO
9566a49f-8478-40c2-8502-9cd35678514f,93,Herglic Space,Herglic Space,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Herglic_Space,,,,,,,,,,NO
126b4f43-b307-4c2b-9a7b-e78264812510,94,Kilbanis sector,Kilbanis sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Kilbanis_sector,,,,,,,,,,NO
689001e4-6686-4234-b1b9-e6f3af906ecc,95,Kliap sector,Kliap sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Kliap_sector,,,,,,,,,,NO
d2a67aa7-836a-411f-bc44-d13b65a2c582,96,Morobe sector,Morobe sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Morobe_sector,,,,,,,,,,NO
d8ac2bbb-748b-4d2b-8439-a0732f15a135,97,Quellor sector,Quellor sector,Neimoidian space,,Colonies,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Neimoidian_space,,,,,,,,,,NO
320a3419-400c-4cae-b6a3-ed2290abb28f,98,Rachuk sector,Rachuk sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Rachuk_sector,,,,,,,,,,NO
1efb8054-e8ed-4dda-adad-6a451065c813,99,Sern sector,Sern sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Sern_sector,,,,,,,,,,NO
596bb275-5fc2-4ac3-a7e1-028e55147c10,100,Shasos sector,Shasos sector,,,Colonies,,,YES,,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Shasos_sector,,,,,,,,,,NO
e3f02a6e-88da-4b27-92f7-bbacc4bb1a60,101,Shelsha sector,Shelsha sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Shelsha_sector,,,,,,,,,,NO
b2b12f27-d867-4a17-b098-fcd44867f7ab,102,Shwuy sector,Shwuy sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Shwuy_sector,,,,,,,,,,NO
279da76a-d1ed-40c4-90e7-b341f931a5bf,103,Tapani sector,Tapani sector,,,Colonies,,,YES,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Tapani_sector/Legends,,,,,,,,,,NO
da396d93-076f-40f2-af5b-b6875a15d7a8,104,Trebela sector,Trebela sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Trebela_sector,,,,,,,,,,NO
56e676f9-493d-43bd-b1b5-e32504aed48d,105,Varvenna sector,Varvenna sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Varvenna_sector,,,,,,,,,,NO
3258bdf1-0dd3-4d4e-a482-25e8d9ccf2c3,106,Wyloff sector,Wyloff sector,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Wyloff_sector,,,,,,,,,,NO
7aedff40-2d22-4b6e-abe5-27ce33733be0,107,Ollonir Boundaries,Ollonir Boundaries,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Ollonir_Boundaries,,,,,,,,,,NO
2ced6d4f-effd-432a-ad29-d0e376724b62,108,Neimoidian space,Neimoidian space,,,Colonies,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Neimoidian_space,,,,,,,,,,NO
94ce2e3d-c77d-4a0f-bfaf-b66b572fdbce,109,Barnaba Province,Barnaba Province,,,Expanse,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Barnaba_Province,,,,,,,,,,NO
111122c0-fa38-40ff-a733-97c326d6bd07,110,Cadriaan Province,Cadriaan Province,,,Expanse,,,,YES,,Sector,,,,,,,,,,,,,,,,,,https://starwars.fandom.com/wiki/Cadriaan_Province,,,,,,,,,,NO
